45.142.236.13:443  | 172.70.242.36  | FR | 271ms | cloudflare | 2023-07-31 23:45:17
45.142.236.14:443  | 172.70.242.180 | FR | 272ms | cloudflare | 2023-07-31 23:45:17
45.142.236.15:443  | 172.70.243.144 | FR | 294ms | cloudflare | 2023-07-31 23:45:17
45.142.236.17:443  | 172.70.242.110 | FR | 307ms | cloudflare | 2023-07-31 23:45:17
45.142.236.18:443  | 172.70.242.34  | FR | 270ms | cloudflare | 2023-07-31 23:45:17
45.142.236.23:443  | 172.70.242.36  | FR | 302ms | cloudflare | 2023-07-31 23:45:17
45.142.236.21:443  | 172.69.150.51  | FR | 256ms | cloudflare | 2023-07-31 23:45:19
45.142.236.22:443  | 172.71.246.142 | FR | 295ms | cloudflare | 2023-07-31 23:45:19
45.142.236.20:443  | 172.69.150.42  | FR | 254ms | cloudflare | 2023-07-31 23:45:19
45.142.236.16:443  | 172.70.246.78  | FR | 452ms | cloudflare | 2023-07-31 23:45:20
45.142.236.19:443  | 172.70.243.62  | FR | 261ms | cloudflare | 2023-07-31 23:45:21
38.180.0.190:443   | 172.71.130.145 | FR | 207ms | cloudflare | 2023-08-01 02:37:52
38.180.0.121:443   | 141.101.69.103 | FR | 0ms | cloudflare | 2023-08-01 02:37:53
141.11.96.48:443   | 172.71.135.110 | FR | 221ms | cloudflare | 2023-08-01 02:39:46
185.26.239.145:443 | 172.71.130.141 | FR | 199ms | cloudflare | 2023-08-01 02:40:58
