140.238.69.60:443  | 141.101.99.125 | GB | 249ms | cloudflare | 2023-08-07 02:57:46
140.238.73.135:443 | 172.71.242.20  | GB | 388ms | cloudflare | 2023-08-07 02:57:46
140.238.79.200:443 | 172.70.90.55   | GB | 268ms | cloudflare | 2023-08-07 02:57:46
140.238.79.112:443 | 141.101.98.111 | GB | 273ms | cloudflare | 2023-08-07 02:57:48
140.238.77.79:443  | 172.70.162.25  | GB | 301ms | cloudflare | 2023-08-07 02:57:49
140.238.71.206:443 | 172.70.86.149  | GB | 0ms | cloudflare | 2023-08-07 02:57:49
140.238.72.183:443 | 172.70.90.186  | GB | 259ms | cloudflare | 2023-08-07 02:57:49
140.238.73.135:443 | 172.70.90.133  | GB | 383ms | cloudflare | 2023-08-07 02:57:49
140.238.79.123:443 | 172.70.86.138  | GB | 291ms | cloudflare | 2023-08-07 02:57:50
140.238.67.196:443 | 172.71.178.32  | GB | 413ms | cloudflare | 2023-08-07 02:57:50
140.238.73.228:443 | 172.71.242.147 | GB | 383ms | cloudflare | 2023-08-07 02:57:50
140.238.73.228:443 | 172.70.91.173  | GB | 379ms | cloudflare | 2023-08-07 02:57:50
140.238.77.144:443 | 172.71.178.178 | GB | 275ms | cloudflare | 2023-08-07 02:57:51
140.238.79.231:443 | 172.71.242.11  | GB | 312ms | cloudflare | 2023-08-07 02:57:51
140.238.76.217:443 | 141.101.98.100 | GB | 363ms | cloudflare | 2023-08-07 02:57:51
140.238.83.81:443  | 172.70.162.172 | GB | 395ms | cloudflare | 2023-08-07 02:57:51
140.238.78.27:443  | 172.70.90.93   | GB | 555ms | cloudflare | 2023-08-07 02:57:51
140.238.72.233:443 | 172.71.178.187 | GB | 459ms | cloudflare | 2023-08-07 02:57:51
140.238.76.39:443  | 172.70.90.221  | GB | 455ms | cloudflare | 2023-08-07 02:57:51
140.238.72.166:443 | 172.70.86.159  | GB | 255ms | cloudflare | 2023-08-07 02:57:51
140.238.92.215:443 | 172.70.90.221  | GB | 439ms | cloudflare | 2023-08-07 02:57:52
140.238.72.28:443  | 141.101.98.184 | GB | 0ms | cloudflare | 2023-08-07 02:57:52
140.238.92.60:443  | 172.71.178.191 | GB | 249ms | cloudflare | 2023-08-07 02:57:52
140.238.91.128:443 | 172.70.90.55   | GB | 383ms | cloudflare | 2023-08-07 02:57:52
140.238.69.60:443  | 172.70.90.27   | GB | 249ms | cloudflare | 2023-08-07 02:57:52
140.238.79.19:443  | 172.71.178.178 | GB | 459ms | cloudflare | 2023-08-07 02:57:52
140.238.101.171:443 | 172.70.86.159  | GB | 435ms | cloudflare | 2023-08-07 02:57:53
140.238.77.240:443 | 172.70.162.108 | GB | 430ms | cloudflare | 2023-08-07 02:57:53
