47.57.245.232:443  | 172.71.158.20  | HK | 48ms | cloudflare | 2023-10-31 00:28:54
129.226.180.77:443 | 172.71.218.57  | HK | 50ms | cloudflare | 2023-10-31 02:59:23
47.57.245.232:443  | 172.69.135.108 | HK | 50ms | cloudflare | 2023-10-31 00:29:41
8.212.22.4:443     | 172.71.214.58  | HK | 52ms | cloudflare | 2023-10-31 00:10:24
8.212.22.4:443     | 172.71.210.210 | HK | 53ms | cloudflare | 2023-10-31 00:10:39
47.57.14.118:443   | 172.71.159.22  | HK | 54ms | cloudflare | 2023-10-31 00:28:58
8.212.4.25:443     | 162.158.106.65 | HK | 55ms | cloudflare | 2023-10-31 00:10:22
47.75.122.158:443  | 172.71.219.94  | HK | 60ms | cloudflare | 2023-10-31 00:31:27
8.212.4.25:443     | 162.158.190.68 | HK | 60ms | cloudflare | 2023-10-31 00:10:31
47.57.233.126:443  | 172.71.158.29  | HK | 63ms | cloudflare | 2023-10-31 00:29:40
47.75.122.158:443  | 162.158.178.163 | HK | 66ms | cloudflare | 2023-10-31 00:31:51
8.212.49.56:443    | 162.158.178.141 | HK | 67ms | cloudflare | 2023-10-31 00:10:44
47.57.14.118:443   | 172.71.154.12  | HK | 70ms | cloudflare | 2023-10-31 00:28:14
8.212.49.56:443    | 172.71.211.14  | HK | 77ms | cloudflare | 2023-10-31 00:10:27
47.57.233.126:443  | 172.69.134.149 | HK | 81ms | cloudflare | 2023-10-31 00:28:52
43.154.209.116:443 | 172.71.214.58  | HK | 82ms | cloudflare | 2023-10-31 02:53:28
