128.1.18.29:443    | 172.69.22.20   | JP | 52ms | cloudflare | 2023-12-12 23:44:59
128.1.18.29:443    | 172.69.135.108 | JP | 53ms | cloudflare | 2023-12-12 23:45:19
47.245.52.202:443  | 172.70.123.44  | JP | 111ms | cloudflare | 2023-12-13 00:44:34
47.245.13.56:443   | 172.68.119.77  | JP | 112ms | cloudflare | 2023-12-13 00:44:13
47.245.5.56:443    | 172.70.222.90  | JP | 112ms | cloudflare | 2023-12-13 00:44:15
47.74.53.24:443    | 172.68.118.141 | JP | 112ms | cloudflare | 2023-12-13 00:25:19
47.245.13.50:443   | 172.68.118.106 | JP | 113ms | cloudflare | 2023-12-13 00:44:17
47.91.14.156:443   | 172.68.119.143 | JP | 114ms | cloudflare | 2023-12-13 00:33:04
158.179.190.61:443 | 172.68.119.85  | JP | 120ms | cloudflare | 2023-11-02 03:09:00
47.245.2.84:443    | 172.70.122.156 | JP | 125ms | cloudflare | 2023-12-13 00:44:11
47.74.0.188:443    | 162.158.119.54 | JP | 126ms | cloudflare | 2023-12-13 00:24:53
47.74.0.188:443    | 172.70.122.154 | JP | 126ms | cloudflare | 2023-12-13 00:24:51
47.74.0.188:443    | 172.70.122.30  | JP | 126ms | cloudflare | 2023-12-13 00:24:58
47.74.6.73:443     | 172.68.118.32  | JP | 131ms | cloudflare | 2023-12-13 00:24:52
47.74.6.73:443     | 172.70.123.87  | JP | 131ms | cloudflare | 2023-12-13 00:24:54
47.74.6.73:443     | 162.158.119.110 | JP | 133ms | cloudflare | 2023-12-13 00:24:52
47.74.12.137:443   | 162.158.118.27 | JP | 135ms | cloudflare | 2023-12-13 00:24:56
47.74.12.137:443   | 172.68.118.128 | JP | 136ms | cloudflare | 2023-12-13 00:25:02
47.74.53.24:443    | 172.68.119.67  | JP | 190ms | cloudflare | 2023-12-13 00:25:10
47.74.48.55:443    | 162.158.119.110 | JP | 198ms | cloudflare | 2023-12-13 00:25:14
47.74.19.240:443   | 172.70.222.235 | JP | 211ms | cloudflare | 2023-12-13 00:24:56
47.74.48.55:443    | 172.70.223.45  | JP | 211ms | cloudflare | 2023-12-13 00:25:06
