156.59.90.107:443  | 172.71.210.21  | SG | 43ms | cloudflare | 2023-09-23 23:48:30
156.59.90.78:443   | 172.70.123.116 | SG | 56ms | cloudflare | 2023-09-23 23:48:40
8.222.193.135:443  | 172.70.142.246 | SG | 206ms | cloudflare | 2023-09-24 00:19:33
8.219.137.50:443   | 162.158.170.243 | SG | 209ms | cloudflare | 2023-09-24 00:16:41
8.219.137.50:443   | 172.70.147.203 | SG | 210ms | cloudflare | 2023-09-24 00:15:56
8.222.219.34:443   | 108.162.226.125 | SG | 212ms | cloudflare | 2023-09-24 00:19:41
8.222.236.229:443  | 162.158.190.27 | SG | 217ms | cloudflare | 2023-09-24 00:19:49
8.219.206.180:443  | 162.158.106.223 | SG | 229ms | cloudflare | 2023-09-24 00:17:09
8.219.206.180:443  | 172.70.147.167 | SG | 229ms | cloudflare | 2023-09-24 00:16:22
8.222.210.182:443  | 162.158.189.12 | SG | 247ms | cloudflare | 2023-09-24 00:19:39
8.222.210.182:443  | 172.70.142.206 | SG | 249ms | cloudflare | 2023-09-24 00:19:24
8.219.104.242:443  | 172.70.142.105 | SG | 269ms | cloudflare | 2023-09-24 00:15:46
