121.41.61.14:443   | 172.69.22.116  | CN | 27ms | cloudflare | 2024-01-18 02:18:32
47.96.145.189:443  | 172.71.154.220 | CN | 27ms | cloudflare | 2024-01-18 01:31:02
47.97.218.8:443    | 172.71.159.47  | CN | 27ms | cloudflare | 2024-01-18 01:31:29
47.100.162.123:443 | 172.68.119.88  | CN | 30ms | cloudflare | 2024-01-18 01:34:34
121.40.181.217:443 | 172.69.22.176  | CN | 31ms | cloudflare | 2024-01-18 02:17:30
47.104.146.53:443  | 172.71.154.6   | CN | 31ms | cloudflare | 2024-01-18 01:38:12
101.200.36.52:443  | 172.68.119.143 | CN | 39ms | cloudflare | 2024-01-18 01:55:12
47.57.245.232:443  | 172.69.134.79  | HK | 49ms | cloudflare | 2024-01-18 00:24:00
47.76.80.72:443    | 162.158.178.235 | HK | 49ms | cloudflare | 2024-01-18 00:27:36
8.212.23.156:443   | 172.71.219.29  | HK | 49ms | cloudflare | 2024-01-18 00:06:03
47.57.216.19:443   | 172.71.211.53  | HK | 50ms | cloudflare | 2024-01-18 00:23:58
47.76.80.72:443    | 172.71.218.39  | HK | 50ms | cloudflare | 2024-01-18 00:27:53
8.212.23.156:443   | 172.71.218.164 | HK | 50ms | cloudflare | 2024-01-18 00:05:46
47.76.37.57:443    | 162.158.178.21 | HK | 51ms | cloudflare | 2024-01-18 00:27:48
8.217.193.25:443   | 172.71.214.148 | HK | 51ms | cloudflare | 2024-01-18 00:12:33
8.217.250.222:443  | 172.71.211.13  | HK | 51ms | cloudflare | 2024-01-18 00:12:13
8.218.188.129:443  | 172.71.214.151 | HK | 51ms | cloudflare | 2024-01-18 00:15:18
8.218.188.129:443  | 172.71.218.176 | HK | 51ms | cloudflare | 2024-01-18 00:14:39
47.243.42.219:443  | 162.158.178.213 | HK | 52ms | cloudflare | 2024-01-18 00:42:48
47.243.42.219:443  | 162.158.178.245 | HK | 52ms | cloudflare | 2024-01-18 00:41:22
47.76.37.57:443    | 172.71.218.110 | HK | 52ms | cloudflare | 2024-01-18 00:27:29
47.57.216.18:443   | 172.71.215.50  | HK | 53ms | cloudflare | 2024-01-18 00:23:57
47.76.32.108:443   | 172.71.210.246 | HK | 53ms | cloudflare | 2024-01-18 00:27:28
8.217.250.222:443  | 172.71.214.200 | HK | 53ms | cloudflare | 2024-01-18 00:12:49
8.217.85.14:443    | 172.71.210.6   | HK | 53ms | cloudflare | 2024-01-18 00:10:44
8.217.85.14:443    | 172.71.214.146 | HK | 53ms | cloudflare | 2024-01-18 00:11:19
47.242.171.94:443  | 172.71.219.57  | HK | 54ms | cloudflare | 2024-01-18 00:40:41
47.76.33.40:443    | 172.71.214.42  | HK | 54ms | cloudflare | 2024-01-18 00:27:23
47.57.233.126:443  | 172.69.134.6   | HK | 56ms | cloudflare | 2024-01-18 00:24:25
47.76.32.108:443   | 172.71.219.32  | HK | 56ms | cloudflare | 2024-01-18 00:27:48
8.212.19.60:443    | 172.69.23.184  | HK | 56ms | cloudflare | 2024-01-18 00:05:48
8.217.193.25:443   | 172.71.214.151 | HK | 56ms | cloudflare | 2024-01-18 00:11:56
47.57.233.126:443  | 162.158.166.193 | HK | 57ms | cloudflare | 2024-01-18 00:24:01
8.210.156.6:443    | 172.71.218.177 | HK | 59ms | cloudflare | 2024-01-18 00:03:37
116.214.34.66:443  | 162.158.178.173 | CN | 62ms | cloudflare | 2023-11-02 00:00:50
8.210.101.157:443  | 172.71.210.26  | HK | 64ms | cloudflare | 2024-01-18 00:03:16
8.212.19.60:443    | 172.71.158.110 | HK | 64ms | cloudflare | 2024-01-18 00:06:02
8.210.101.157:443  | 172.71.211.53  | HK | 66ms | cloudflare | 2024-01-18 00:02:28
8.210.156.6:443    | 172.71.210.7   | HK | 66ms | cloudflare | 2024-01-18 00:04:22
128.1.18.29:443    | 172.69.134.174 | JP | 76ms | cloudflare | 2024-01-17 23:45:16
128.1.18.29:443    | 172.69.134.69  | JP | 76ms | cloudflare | 2024-01-17 23:44:56
23.106.143.183:443 | 141.101.86.156 | JP | 78ms | cloudflare | 2024-01-18 01:00:14
149.129.8.215:443  | 172.71.154.30  | KR | 84ms | cloudflare | 2024-01-18 00:54:59
149.129.8.215:443  | 172.69.134.11  | KR | 88ms | cloudflare | 2024-01-18 00:56:17
149.129.8.215:443  | 172.71.158.29  | KR | 89ms | cloudflare | 2024-01-18 00:55:06
192.169.127.184:443 | 172.71.159.47  | JP | 108ms | cloudflare | 2024-01-17 23:47:39
158.179.190.61:443 | 172.68.119.85  | JP | 120ms | cloudflare | 2023-11-02 03:09:00
158.179.174.143:443 | 162.158.138.148 | KR | 121ms | cloudflare | 2023-11-02 03:08:59
147.139.145.158:443 | 172.69.43.197  | ID | 144ms | cloudflare | 2024-01-18 00:54:13
185.148.15.118:443 | 172.69.23.183  | US | 147ms | cloudflare | 2024-01-17 23:51:29
185.148.14.155:443 | 172.71.158.224 | US | 154ms | cloudflare | 2024-01-17 23:51:29
185.148.14.155:443 | 172.71.158.233 | US | 154ms | cloudflare | 2024-01-17 23:51:29
172.93.47.209:443  | 172.70.214.125 | US | 158ms | cloudflare | 2024-01-18 01:02:09
65.49.193.44:443   | 162.158.186.61 | US | 159ms | cloudflare | 2024-01-18 01:00:37
116.214.34.66:443  | 162.158.178.93 | CN | 160ms | cloudflare | 2023-11-02 00:00:51
172.247.67.172:443 | 172.69.34.45   | US | 162ms | cloudflare | 2024-01-16 23:58:06
38.59.240.36:443   | 172.71.154.242 | US | 164ms | cloudflare | 2024-01-17 23:51:17
136.175.179.68:443 | 172.69.23.136  | US | 166ms | cloudflare | 2024-01-17 23:48:32
49.51.46.56:443    | 172.71.154.30  | US | 171ms | cloudflare | 2024-01-18 02:38:35
43.131.253.21:443  | 172.71.99.45   | KR | 172ms | cloudflare | 2024-01-18 02:33:46
64.64.254.112:443  | 172.70.210.35  | US | 172ms | cloudflare | 2024-01-18 01:00:34
68.168.133.189:443 | 172.69.33.170  | US | 173ms | cloudflare | 2024-01-18 01:00:51
80.251.211.32:443  | 162.158.186.209 | US | 174ms | cloudflare | 2024-01-18 01:01:02
23.105.194.121:443 | 162.158.91.26  | US | 175ms | cloudflare | 2024-01-18 01:00:10
64.64.235.139:443  | 172.69.33.44   | US | 175ms | cloudflare | 2024-01-18 01:00:31
174.136.207.88:443 | 172.70.247.84  | US | 181ms | cloudflare | 2024-01-17 23:48:34
23.105.194.121:443 | 162.158.187.12 | US | 181ms | cloudflare | 2024-01-18 01:00:14
23.224.33.59:443   | 172.70.214.148 | US | 181ms | cloudflare | 2024-01-16 23:53:30
47.254.32.147:443  | 172.69.195.156 | US | 185ms | cloudflare | 2024-01-18 00:51:35
146.70.175.106:443 | 172.71.182.76  | NL | 191ms | cloudflare | 2023-11-02 02:49:52
146.70.175.182:443 | 172.70.46.201  | NL | 192ms | cloudflare | 2023-11-02 02:49:52
146.70.175.184:443 | 172.71.102.171 | NL | 192ms | cloudflare | 2023-11-02 02:49:52
146.70.175.118:443 | 172.71.99.42   | NL | 193ms | cloudflare | 2023-11-02 02:49:52
146.70.175.126:443 | 172.71.99.202  | NL | 193ms | cloudflare | 2023-11-02 02:49:52
146.70.175.164:443 | 172.71.102.199 | NL | 193ms | cloudflare | 2023-11-02 02:49:52
43.130.62.66:443   | 162.158.110.186 | US | 193ms | cloudflare | 2024-01-18 02:33:24
146.70.175.186:443 | 172.70.46.12   | NL | 194ms | cloudflare | 2023-11-02 02:49:52
43.153.193.183:443 | 172.71.182.112 | SG | 194ms | cloudflare | 2024-01-18 02:35:33
146.70.175.120:443 | 172.71.99.70   | NL | 195ms | cloudflare | 2023-11-02 02:49:52
146.70.175.166:443 | 172.71.103.127 | NL | 195ms | cloudflare | 2023-11-02 02:49:52
38.59.224.22:443   | 172.69.195.98  | GB | 197ms | cloudflare | 2024-01-17 23:51:15
146.70.175.112:443 | 172.71.103.216 | NL | 199ms | cloudflare | 2023-11-02 02:49:52
43.156.247.74:443  | 172.71.215.106 | SG | 200ms | cloudflare | 2024-01-18 02:36:35
146.70.175.114:443 | 172.70.46.206  | NL | 202ms | cloudflare | 2023-11-02 02:49:52
8.222.244.39:443   | 162.158.107.73 | SG | 204ms | cloudflare | 2024-01-18 00:20:23
8.222.244.39:443   | 162.158.171.14 | SG | 204ms | cloudflare | 2024-01-18 00:20:20
