49.51.46.56:443    | 172.69.134.3   | US | 150ms | cloudflare | 2024-01-09 02:34:13
43.153.2.128:443   | 172.71.94.30   | US | 152ms | cloudflare | 2024-01-09 02:30:37
174.136.207.83:443 | 172.71.103.160 | US | 156ms | cloudflare | 2024-01-08 23:48:35
65.49.193.44:443   | 172.70.210.35  | US | 157ms | cloudflare | 2024-01-09 00:56:51
43.153.80.208:443  | 172.71.155.14  | US | 161ms | cloudflare | 2024-01-09 02:30:48
49.51.46.56:443    | 172.69.22.117  | US | 162ms | cloudflare | 2024-01-09 02:34:09
80.251.211.32:443  | 172.70.211.103 | US | 163ms | cloudflare | 2024-01-09 00:57:17
23.105.194.121:443 | 162.158.90.188 | US | 164ms | cloudflare | 2024-01-09 00:56:20
45.78.1.88:443     | 172.70.215.12  | US | 166ms | cloudflare | 2024-01-09 00:56:31
47.89.244.253:443  | 172.71.158.29  | US | 166ms | cloudflare | 2024-01-09 00:30:50
47.251.60.16:443   | 172.71.103.31  | US | 167ms | cloudflare | 2024-01-09 00:47:58
23.105.199.136:443 | 172.70.214.80  | US | 170ms | cloudflare | 2024-01-09 00:56:19
136.175.179.68:443 | 162.158.166.148 | US | 171ms | cloudflare | 2024-01-08 23:48:32
23.105.199.135:443 | 162.158.187.31 | US | 171ms | cloudflare | 2024-01-09 00:56:28
23.105.199.135:443 | 172.70.214.140 | US | 175ms | cloudflare | 2024-01-09 00:56:22
45.78.1.182:443    | 172.69.34.46   | US | 176ms | cloudflare | 2024-01-09 00:56:38
47.251.74.226:443  | 172.70.214.80  | US | 178ms | cloudflare | 2024-01-09 00:48:37
47.251.74.226:443  | 172.69.34.46   | US | 179ms | cloudflare | 2024-01-09 00:48:00
37.123.192.167:443 | 172.69.135.81  | US | 180ms | cloudflare | 2024-01-08 23:50:51
104.243.20.69:443  | 172.69.33.97   | US | 183ms | cloudflare | 2024-01-09 00:58:06
104.128.91.207:443 | 162.158.90.244 | US | 184ms | cloudflare | 2024-01-09 00:57:40
104.243.20.69:443  | 162.158.186.15 | US | 189ms | cloudflare | 2024-01-09 00:58:04
38.6.186.13:443    | 162.158.186.75 | US | 189ms | cloudflare | 2024-01-08 23:55:37
65.49.199.111:443  | 172.70.211.57  | US | 190ms | cloudflare | 2024-01-09 00:56:51
174.136.207.88:443 | 172.71.134.94  | US | 197ms | cloudflare | 2024-01-08 23:48:36
47.254.32.147:443  | 141.101.69.102 | US | 199ms | cloudflare | 2024-01-09 00:50:57
37.123.192.167:443 | 172.69.22.235  | US | 207ms | cloudflare | 2024-01-08 23:50:52
47.252.13.100:443  | 172.71.190.118 | US | 216ms | cloudflare | 2024-01-09 00:49:08
47.252.13.100:443  | 172.70.175.119 | US | 219ms | cloudflare | 2024-01-09 00:49:10
