140.238.90.119:443 | 64.252.84.127  | GB | 329ms | CloudFront | 2023-08-07 02:57:47
140.238.87.147:443 | 64.252.84.127  | GB | 486ms | CloudFront | 2023-08-07 02:57:48
140.238.79.45:443  | 64.252.84.127  | GB | 372ms | CloudFront | 2023-08-07 02:57:49
140.238.71.147:443 | 64.252.84.127  | GB | 292ms | CloudFront | 2023-08-07 02:57:50
140.238.71.147:443 | 64.252.84.127  | GB | 289ms | CloudFront | 2023-08-07 02:57:50
140.238.75.139:443 | 64.252.84.127  | GB | 371ms | CloudFront | 2023-08-07 02:57:50
140.238.90.231:443 | 64.252.84.127  | GB | 347ms | CloudFront | 2023-08-07 02:57:51
140.238.90.119:443 | 64.252.84.127  | GB | 343ms | CloudFront | 2023-08-07 02:57:52
140.238.97.80:443  | 64.252.84.127  | GB | 273ms | CloudFront | 2023-08-07 02:57:52
140.238.92.4:443   | 64.252.114.200 | GB | 302ms | CloudFront | 2023-08-07 02:57:52
140.238.100.71:443 | 64.252.84.127  | GB | 330ms | CloudFront | 2023-08-07 02:57:53
140.238.75.195:443 | 64.252.84.127  | GB | 251ms | CloudFront | 2023-08-07 02:57:53
140.238.102.16:443 | 64.252.84.127  | GB | 319ms | CloudFront | 2023-08-07 02:57:53
140.238.102.23:443 | 64.252.84.127  | GB | 327ms | CloudFront | 2023-08-07 02:57:54
140.238.98.15:443  | 64.252.84.127  | GB | 274ms | CloudFront | 2023-08-07 02:57:55
140.238.97.80:443  | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-07 02:57:55
140.238.96.220:443 | 64.252.84.127  | GB | 319ms | CloudFront | 2023-08-07 02:57:56
140.238.99.193:443 | 64.252.84.127  | GB | 267ms | CloudFront | 2023-08-07 02:57:56
140.238.102.16:443 | 64.252.84.127  | GB | 333ms | CloudFront | 2023-08-07 02:57:56
140.238.98.15:443  | 64.252.84.127  | GB | 293ms | CloudFront | 2023-08-07 02:57:56
140.238.97.80:443  | 64.252.84.127  | GB | 269ms | CloudFront | 2023-08-07 02:57:56
140.238.100.71:443 | 64.252.84.127  | GB | 283ms | CloudFront | 2023-08-07 02:57:56
140.238.101.135:443 | 64.252.84.127  | GB | 271ms | CloudFront | 2023-08-07 02:57:56
140.238.99.193:443 | 64.252.84.127  | GB | 269ms | CloudFront | 2023-08-07 02:57:56
140.238.100.71:443 | 64.252.84.127  | GB | 294ms | CloudFront | 2023-08-07 02:57:57
140.238.90.231:443 | 64.252.84.127  | GB | 429ms | CloudFront | 2023-08-07 02:57:57
140.238.103.15:443 | 64.252.84.127  | GB | 0ms | CloudFront | 2023-08-07 02:57:58
140.238.102.16:443 | 64.252.84.127  | GB | 339ms | CloudFront | 2023-08-07 02:57:59
140.238.96.242:443 | 64.252.84.127  | GB | 423ms | CloudFront | 2023-08-07 02:58:11
152.67.130.116:443 | 64.252.84.127  | GB | 390ms | CloudFront | 2023-08-07 03:07:36
152.67.142.139:443 | 64.252.84.127  | GB | 281ms | CloudFront | 2023-08-07 03:07:37
152.67.138.82:443  | 64.252.84.127  | GB | 288ms | CloudFront | 2023-08-07 03:07:37
152.67.140.169:443 | 64.252.84.127  | GB | 515ms | CloudFront | 2023-08-07 03:07:37
152.67.139.66:443  | 64.252.84.127  | GB | 250ms | CloudFront | 2023-08-07 03:07:37
152.67.140.203:443 | 64.252.114.200 | GB | 0ms | CloudFront | 2023-08-07 03:07:38
152.67.151.161:443 | 64.252.84.127  | GB | 251ms | CloudFront | 2023-08-07 03:07:38
