64.110.81.121:443  | 13.124.199.190 | KR | 80ms | CloudFront | 2023-08-04 02:41:48
140.238.26.207:443 | 13.124.199.190 | KR | 89ms | CloudFront | 2023-08-04 02:57:38
140.238.27.12:443  | 13.124.199.190 | KR | 63ms | CloudFront | 2023-08-04 02:57:38
140.238.18.74:443  | 13.124.199.190 | KR | 63ms | CloudFront | 2023-08-04 02:57:38
140.238.28.108:443 | 13.124.199.190 | KR | 64ms | CloudFront | 2023-08-04 02:57:38
140.238.6.130:443  | 13.124.199.190 | KR | 103ms | CloudFront | 2023-08-04 02:57:40
140.238.9.147:443  | 64.252.73.98   | KR | 243ms | CloudFront | 2023-08-04 02:57:41
140.238.9.147:443  | 64.252.73.98   | KR | 244ms | CloudFront | 2023-08-04 02:57:42
140.238.10.100:443 | 13.124.199.190 | KR | 0ms | CloudFront | 2023-08-04 02:57:42
152.70.232.18:443  | 13.124.199.190 | KR | 0ms | CloudFront | 2023-08-04 03:10:31
193.122.114.36:443 | 13.124.199.190 | KR | 76ms | CloudFront | 2023-08-04 03:17:58
193.122.113.246:443 | 13.124.199.190 | KR | 63ms | CloudFront | 2023-08-04 03:17:59
193.122.113.246:443 | 13.124.199.190 | KR | 70ms | CloudFront | 2023-08-04 03:17:59
193.122.114.36:443 | 13.124.199.190 | KR | 93ms | CloudFront | 2023-08-04 03:18:00
193.122.98.170:443 | 13.124.199.190 | KR | 72ms | CloudFront | 2023-08-04 03:18:02
193.122.114.95:443 | 13.124.199.190 | KR | 72ms | CloudFront | 2023-08-04 03:18:02
193.122.116.101:443 | 13.124.199.190 | KR | 66ms | CloudFront | 2023-08-04 03:18:02
193.122.108.65:443 | 13.124.199.190 | KR | 0ms | CloudFront | 2023-08-04 03:18:03
193.122.116.180:443 | 13.124.199.190 | KR | 69ms | CloudFront | 2023-08-04 03:18:03
193.122.117.23:443 | 13.124.199.190 | KR | 80ms | CloudFront | 2023-08-04 03:18:03
193.122.114.95:443 | 13.124.199.190 | KR | 75ms | CloudFront | 2023-08-04 03:18:04
193.122.116.180:443 | 13.124.199.190 | KR | 69ms | CloudFront | 2023-08-04 03:18:05
193.122.96.159:443 | 13.124.199.190 | KR | 79ms | CloudFront | 2023-08-04 03:18:06
193.122.98.170:443 | 13.124.199.190 | KR | 75ms | CloudFront | 2023-08-04 03:18:08
193.123.226.249:443 | 13.124.199.190 | KR | 123ms | CloudFront | 2023-08-04 03:18:42
193.123.230.30:443 | 64.252.104.184 | KR | 272ms | CloudFront | 2023-08-04 03:18:43
193.123.229.125:443 | 13.124.199.190 | KR | 104ms | CloudFront | 2023-08-04 03:18:43
