47.103.20.254:443  | 64.252.103.153 | CN | 27ms | CloudFront | 2023-11-25 01:33:15
103.149.27.221:443 | 64.252.103.153 | HK | 38ms | CloudFront | 2023-12-01 23:49:22
128.1.31.37:443    | 64.252.114.66  | US | 39ms | CloudFront | 2023-12-01 23:45:00
128.1.31.37:443    | 64.252.114.66  | US | 39ms | CloudFront | 2023-12-01 23:45:16
128.14.67.109:443  | 64.252.86.9    | HK | 39ms | CloudFront | 2023-12-01 23:45:58
128.14.67.109:443  | 64.252.88.34   | HK | 39ms | CloudFront | 2023-12-01 23:45:32
128.14.67.109:443  | 64.252.89.32   | HK | 39ms | CloudFront | 2023-12-01 23:45:42
156.59.91.152:443  | 64.252.86.248  | SG | 39ms | CloudFront | 2023-12-01 23:47:12
193.110.203.113:443 | 64.252.103.153 | HK | 40ms | CloudFront | 2023-12-01 23:48:27
193.110.203.113:443 | 64.252.103.153 | HK | 40ms | CloudFront | 2023-12-01 23:48:27
45.40.59.101:443   | 64.252.113.97  | HK | 40ms | CloudFront | 2023-12-01 23:43:30
156.59.91.133:443  | 64.252.85.221  | SG | 41ms | CloudFront | 2023-12-01 23:47:09
193.110.203.212:443 | 64.252.103.153 | HK | 41ms | CloudFront | 2023-12-01 23:48:27
128.14.67.112:443  | 64.252.112.132 | HK | 42ms | CloudFront | 2023-12-01 23:45:31
128.14.67.112:443  | 64.252.113.97  | HK | 42ms | CloudFront | 2023-12-01 23:45:41
128.14.67.112:443  | 64.252.113.97  | HK | 42ms | CloudFront | 2023-12-01 23:45:58
128.14.67.53:443   | 64.252.112.132 | HK | 42ms | CloudFront | 2023-12-01 23:45:32
128.14.67.53:443   | 64.252.113.97  | HK | 42ms | CloudFront | 2023-12-01 23:45:41
128.14.67.53:443   | 64.252.113.97  | HK | 42ms | CloudFront | 2023-12-01 23:45:58
129.227.153.9:443  | 64.252.86.9    | HK | 42ms | CloudFront | 2023-12-01 23:46:26
193.110.203.212:443 | 64.252.103.153 | HK | 42ms | CloudFront | 2023-12-01 23:48:27
45.40.59.231:443   | 64.252.113.97  | HK | 42ms | CloudFront | 2023-12-01 23:43:30
156.59.152.99:443  | 64.252.86.248  | HK | 43ms | CloudFront | 2023-12-01 23:47:12
128.14.67.241:443  | 64.252.86.9    | HK | 44ms | CloudFront | 2023-12-01 23:45:59
128.14.67.241:443  | 64.252.88.34   | HK | 44ms | CloudFront | 2023-12-01 23:45:33
128.14.67.241:443  | 64.252.89.32   | HK | 44ms | CloudFront | 2023-12-01 23:45:42
45.40.59.252:443   | 64.252.89.32   | HK | 45ms | CloudFront | 2023-12-01 23:43:32
47.243.236.206:443 | 64.252.104.72  | HK | 46ms | CloudFront | 2023-12-02 00:45:00
47.57.117.205:443  | 64.252.105.170 | HK | 46ms | CloudFront | 2023-12-02 00:22:48
47.57.186.165:443  | 64.252.105.170 | HK | 46ms | CloudFront | 2023-12-02 00:22:10
47.57.186.165:443  | 64.252.105.81  | HK | 46ms | CloudFront | 2023-12-02 00:22:56
47.57.9.29:443     | 64.252.105.81  | HK | 46ms | CloudFront | 2023-12-02 00:22:29
101.32.26.11:443   | 64.252.104.72  | HK | 47ms | CloudFront | 2023-12-02 02:33:21
119.28.24.232:443  | 64.252.103.153 | HK | 47ms | CloudFront | 2023-12-02 02:34:10
119.28.68.23:443   | 64.252.103.153 | HK | 47ms | CloudFront | 2023-12-02 02:34:21
