128.1.31.37:443    | 64.252.72.186  | US | 46ms | CloudFront | 2023-12-16 23:45:03
128.1.31.37:443    | 64.252.72.186  | US | 46ms | CloudFront | 2023-12-16 23:45:22
47.76.190.183:443  | 64.252.104.154 | US | 49ms | CloudFront | 2023-12-17 00:29:48
47.76.190.183:443  | 64.252.104.154 | US | 49ms | CloudFront | 2023-12-17 00:30:03
154.198.212.249:443 | 64.252.104.154 | US | 50ms | CloudFront | 2023-12-16 23:57:17
156.251.182.44:443 | 64.252.103.155 | US | 50ms | CloudFront | 2023-12-16 23:57:56
156.251.182.44:443 | 64.252.105.239 | US | 50ms | CloudFront | 2023-12-16 23:58:18
154.198.212.249:443 | 64.252.104.154 | US | 51ms | CloudFront | 2023-12-16 23:57:16
156.251.182.44:443 | 64.252.103.155 | US | 52ms | CloudFront | 2023-12-16 23:58:11
156.251.179.83:443 | 64.252.103.155 | US | 54ms | CloudFront | 2023-12-16 23:57:58
47.76.47.193:443   | 64.252.83.182  | US | 60ms | CloudFront | 2023-12-17 00:29:16
